date,hidrocarburti
10/12/2021,1658.3029
11/12/2021,1650.2756
11/12/2021,1651.5709
11/12/2021,1650.2756
11/12/2021,1651.5709
12/12/2021,1290.4619
13/12/2021,1673.785
14/12/2021,1728.636
14/12/2021,1727.3407
14/12/2021,1728.636
14/12/2021,1727.3407
15/12/2021,1557.2476
16/12/2021,1691.0195
17/12/2021,1679.8657
18/12/2021,1604.1256
18/12/2021,1638.4946
18/12/2021,1604.1256
18/12/2021,1638.4946
19/12/2021,1383.4174
20/12/2021,1476.3444
21/12/2021,1661.5726
21/12/2021,1728.636
21/12/2021,1661.5726
21/12/2021,1728.636
22/12/2021,1725.0594
23/12/2021,1721.277
24/12/2021,1678.5704
25/12/2021,1521.2227
26/12/2021,1256.7687
26/12/2021,1445.407
26/12/2021,1256.7687
26/12/2021,1445.407
27/12/2021,1497.9072
28/12/2021,1603.429
29/12/2021,1719.3572
29/12/2021,1719.3572
29/12/2021,1719.3572
29/12/2021,1719.3572
30/12/2021,1660.9508
31/12/2021,1514.6165
31/12/2021,1220.5881
31/12/2021,1514.6165
31/12/2021,1220.5881
01/01/2022,1089.1439
02/01/2022,1013.35156
03/01/2022,1317.5277
03/01/2022,1576.5309
03/01/2022,1317.5277
03/01/2022,1576.5309
04/01/2022,1412.4106
05/01/2022,1473.0165
06/01/2022,1711.0499
06/01/2022,1736.0227
06/01/2022,1711.0499
06/01/2022,1736.0227
07/01/2022,1693.3163
08/01/2022,1665.0214
09/01/2022,1525.9208
09/01/2022,1525.9208
09/01/2022,1525.9208
09/01/2022,1525.9208
10/01/2022,1739.9883
11/01/2022,1729.0101
12/01/2022,1462.2484
12/01/2022,1614.5983
12/01/2022,1462.2484
12/01/2022,1614.5983
13/01/2022,1445.014
14/01/2022,1568.1091
14/01/2022,1692.021
14/01/2022,1568.1091
14/01/2022,1692.021
15/01/2022,1665.0214
16/01/2022,1525.9208
17/01/2022,1740.7911
17/01/2022,1742.0864
17/01/2022,1740.7911
17/01/2022,1742.0864
18/01/2022,1742.0864
19/01/2022,1737.707
20/01/2022,1733.1595
21/01/2022,1692.021
21/01/2022,1692.021
21/01/2022,1692.021
21/01/2022,1692.021
22/01/2022,1663.7261
23/01/2022,1525.9208
24/01/2022,1693.3458
25/01/2022,1399.3344
25/01/2022,1606.4164
25/01/2022,1399.3344
25/01/2022,1606.4164
26/01/2022,1738.5099
27/01/2022,1734.7274
27/01/2022,1732.6293
27/01/2022,1734.7274
27/01/2022,1732.6293
28/01/2022,1693.3163
29/01/2022,1663.7261
30/01/2022,1524.6255
30/01/2022,1395.5725
30/01/2022,1524.6255
30/01/2022,1395.5725
31/01/2022,1489.7948
01/02/2022,1616.8795
02/02/2022,1738.5099
03/02/2022,1734.7274
05/02/2022,1663.7261
06/02/2022,1524.6255
08/02/2022,1733.9193
09/02/2022,1731.6381
10/02/2022,1681.7056
12/02/2022,1645.0732
13/02/2022,1519.049
14/02/2022,1711.5573
15/02/2022,1711.5573
16/02/2022,1710.5713
18/02/2022,1647.2214
19/02/2022,1491.1691
21/02/2022,1486.7018
22/02/2022,1496.6271
24/02/2022,1659.6705
25/02/2022,1648.5167
26/02/2022,1620.222
28/02/2022,1584.1826
01/03/2022,1414.1826
02/03/2022,1112.7407
03/03/2022,991.5139
05/03/2022,918.4463
06/03/2022,781.41174
08/03/2022,995.5119
09/03/2022,993.2306
